epoch,mse
1,0.3091895528811833
2,0.19194067685514626
3,0.2048892480409449
4,0.19411195105423737
5,0.21411620400867895
6,0.18448418464056898
7,0.19319544237108102
8,0.17885769685916877
9,0.180565023435868
10,0.18403948941473286
11,0.144903446896549
12,0.1352241466622458
13,0.18746000417256845
14,0.16800868566910612
15,0.1471954092168502
16,0.1326476547939894
17,0.18134986451367466
18,0.16719728386556276
19,0.13963786829011865
20,0.1503419696524892
21,0.1391255883531573
22,0.18036699619319566
23,0.15339277000805882
24,0.15207772042603301
25,0.1328597319181884
26,0.14078481033752543
27,0.1442165658222203
28,0.13790807568515137
29,0.12814277903874552
30,0.11904968971599986
31,0.13751615655106839
32,0.1278650687726185
33,0.14708046962355226
34,0.1447284207073406
35,0.13537656664311498
36,0.11930612487624459
37,0.10726493219165426
38,0.13695769527107632
39,0.10791766512233134
40,0.1239083349961127
41,0.11005632438731405
42,0.1335737707083611
43,0.10939901885075938
44,0.10278136372801755
45,0.11949932624222964
46,0.1081040987973488
47,0.10553669452872504
48,0.10940578814825952
49,0.11220708872253236
50,0.11437562096585335
51,0.1121154520422177
52,0.1011452712461805
53,0.09618762036607995
54,0.10959908397064423
55,0.09459838573062809
56,0.11948489372887262
57,0.10900682142825761
58,0.09454603265366719
59,0.09980088027262504
60,0.10874357304670754
61,0.09039825420435968
62,0.09585896091096507
63,0.08655027179581092
64,0.09570224530398551
65,0.08802337541336361
66,0.08760962222527895
67,0.09087079651310757
68,0.0873706191228496
69,0.10748688317171097
70,0.11618182512462884
71,0.0922737467086752
72,0.0907142079644724
73,0.08217194004186203
74,0.09731868832658713
75,0.094583318320161
76,0.08937772362728848
77,0.08178851128660194
78,0.08778297965553364
79,0.07157416424912437
80,0.07673616732563934
81,0.08315577978203836
82,0.07638529935541917
83,0.08551291391872295
84,0.08878837397856534
85,0.06353396434670039
86,0.07585299537863538
87,0.06829504076810249
88,0.07227527698531817
89,0.0993025267166049
90,0.0892331366261197
91,0.07842326327109421
92,0.10798803196809109
93,0.09119495157277606
94,0.07476053422529277
95,0.07760982140090353
96,0.08171004873513744
97,0.07024621587833153
98,0.07357035068597956
99,0.09036624501779142
100,0.07177693530330319
101,0.07094141791994821
102,0.08472663496504831
103,0.08400574386527487
104,0.0879921528816188
105,0.07340209849882791
106,0.07198274271126275
107,0.08844243358707592
108,0.09441958920057059
109,0.08103118991369358
110,0.08866733037629262
111,0.08954533628666969
112,0.06694244649066418
113,0.0656387642074948
114,0.06642249638019977
115,0.08377867556020609
116,0.06871057292040327
117,0.0852219868272491
118,0.07075854585686812
119,0.07303005916532866
120,0.07107516277431694
121,0.09385981663755617
122,0.07772459180419795
123,0.08972871813397346
124,0.07888259090379886
125,0.08357946000070367
126,0.07798657571799777
127,0.07437386597955678
128,0.06524665564358968
129,0.08321189484884335
130,0.08714671414545296
131,0.07418989183164013
132,0.08440166210069815
133,0.07556242417949316
134,0.08142133410791173
135,0.09579473445811382
136,0.07413491865374275
137,0.09523694312202742
138,0.07149783125675006
139,0.07277881325119702
140,0.07911436464090367
141,0.06826041746891073
142,0.07653541135637527
143,0.07872008995708925
144,0.06417561975985112
145,0.07161666188253807
146,0.09355010358405351
147,0.08360704653347419
148,0.07744804214444233
149,0.06112747323104513
150,0.07186761397130854
151,0.07229467099889288
152,0.07235908933029102
153,0.0680145606252796
154,0.0635690910248346
155,0.08553845149946622
156,0.0694199686092059
157,0.06721180640460483
158,0.07548563484102074
159,0.0642313248826732
160,0.057933275511198756
161,0.06037626496436226
162,0.08343709941161466
163,0.06656223694427223
164,0.07920033412172162
165,0.07592284803753666
166,0.06787430532556087
167,0.08590157569002771
168,0.07356091272858858
169,0.05458472305681008
170,0.08092831321318208
171,0.09252491537065678
172,0.07754732720632737
173,0.07266378775865684
174,0.08092019389744474
175,0.06734392315626754
176,0.061502395771963696
177,0.0572887432959188
178,0.07728596919259714
179,0.05937593083763784
180,0.06851825871290473
181,0.0959619890319054
182,0.06097769622019187
183,0.04869010175528091
184,0.05031126159092172
185,0.051274044487125164
186,0.06421934933953356
187,0.0468784070129084
188,0.054183537388807164
189,0.053764245547481763
190,0.05846429678289197
191,0.04997775186127557
192,0.05023830820936275
193,0.055946972157970024
194,0.06109259698786186
195,0.06947591556563408
196,0.05271389537652008
197,0.06936086973542353
198,0.051883513306484684
199,0.05529852831165606
200,0.05799678000270791
